wavelength_nm,n,k
608,1.51266486704757,2.30366361643975e-07
609,1.51263039107379,2.35136357516937e-07
610,1.51259607959298,2.40274004587488e-07
611,1.51256193261633,2.45304072397267e-07
612,1.51252798321223,2.5023304855446e-07
613,1.51249416527802,2.55066793689485e-07
614,1.51246051188124,2.60237592407658e-07
615,1.51242705609232,2.65725769104466e-07
616,1.51239373180401,2.71102866510455e-07
617,1.51236057208593,2.76375368103257e-07
618,1.51232757694888,2.8194320095218e-07
619,1.51229474640365,2.87403188973455e-07
620,1.51226208046095,2.92761366134711e-07
621,1.51222957913145,2.98767352935127e-07
622,1.5121972093613,3.04290322313639e-07
623,1.51216503728928,3.10073078374338e-07
624,1.51213296373041,3.16101363831705e-07
625,1.51210108789066,3.22016817107414e-07
626,1.512069343648,3.28164034270424e-07
627,1.5120377640787,3.34198199093428e-07
628,1.51200631612441,3.40125328615705e-07
629,1.51197503286269,3.46592168498427e-07
630,1.51194391430374,3.52940537998885e-07
631,1.51191292738707,3.59176718985854e-07
632,1.51188207212075,3.65610246252575e-07
633,1.51185138158489,3.72230887317562e-07
634,1.51182082271681,3.78735811327065e-07
635,1.51179042859788,3.85419045578765e-07
636,1.51176016616398,3.92271476420408e-07
637,1.51173003542304,3.9900624272215e-07
638,1.51170006945828,4.05902817007191e-07
639,1.51167023520349,4.12684155229516e-07
640,1.51164053266647,4.1988500367419e-07
641,1.51161096185499,4.26964425501061e-07
642,1.51158155585472,4.34184142480298e-07
643,1.51155224851812,4.41285756080176e-07
644,1.51152310600937,4.48522476652038e-07
645,1.51149409525814,4.56131335050284e-07
646,1.51146521627202,4.63375801010913e-07
647,1.51143646905856,4.70980424561474e-07
648,1.5114078536253,4.78464196860859e-07
649,1.5113793699797,4.86289527180216e-07
650,1.51135101812922,4.93990911670052e-07
651,1.51132279808129,5.01795358672224e-07
652,1.51129467675906,5.09698133959981e-07
653,1.5112667203377,5.17694734514958e-07
654,1.51123889574093,5.25569679991853e-07
655,1.51121116988999,5.33744534509549e-07
656,1.51118357587697,5.41796057304676e-07
657,1.51115614679632,5.50133435188971e-07
658,1.5111287833935,5.58346330976343e-07
659,1.5111015849374,5.66832023907013e-07
660,1.51107448525886,5.7519254283961e-07
661,1.51104751745282,5.83623529302065e-07
662,1.51102068152635,5.9230944259023e-07
663,1.51099394439566,6.00869809200047e-07
664,1.51096733915739,6.09674231573307e-07
665,1.51094086581851,6.18353304900123e-07
666,1.5109144912934,6.27266322965896e-07
667,1.51088824868036,6.36054455352218e-07
