material_id,true_thickness_nm,scenario,method,n,mean_AE_nm,median_AE_nm,q90_AE_nm,q95_AE_nm,max_AE_nm,boundary_count,non_ok_count,convergence_count
C,380.0,mixed,E0,200,32.629878272936246,9.439463062764245,179.55426869352624,187.63781929775814,319.99997973791926,1,1,199
C,380.0,mixed,E1,200,8.604162232215526,8.092213596542479,13.31329444593501,15.125916053254782,18.898557430886285,0,0,200
C,380.0,mixed,E3,200,8.602080031297566,7.951372401650929,13.42447621962348,15.248999328060032,18.64027770053684,0,0,200
C,520.0,baseline_drift,E0,200,4.847963387240005,4.763111623072973,7.659190584952477,8.516481380605965,10.639141153786966,0,0,200
C,520.0,baseline_drift,E1,200,5.211623924965206,5.1446261908789666,8.37100668904889,9.108656981745801,11.629947364336942,0,0,200
C,520.0,baseline_drift,E3,200,5.6105271865315345,5.32967359142458,9.368589277856751,10.385026442199043,13.340140815031134,0,0,200
C,520.0,gaussian,E0,200,0.41491183997608516,0.35484418066573653,0.8717451105029909,1.0456075643845841,1.5586058354797387,0,0,200
C,520.0,gaussian,E1,200,0.4317202571433086,0.34497578626672976,0.9256787499963252,1.0767809381466629,1.71439079161496,0,0,200
C,520.0,gaussian,E3,200,0.43240104972943016,0.34635788948997964,0.9303538230254956,1.0802473595741893,1.73702403102061,0,0,200
C,520.0,impulsive,E0,200,1.3304456021332982,1.1405396928137748,2.643754571087811,2.9781974607183423,5.311149909633627,0,0,200
C,520.0,impulsive,E1,200,0.2253237252729735,0.18308360680163105,0.43178663137033474,0.5747100720586559,1.147791303073177,0,0,200
C,520.0,impulsive,E3,200,0.2099613786937766,0.16266273011405014,0.4430861442306991,0.5245273391900919,0.8481197272074041,0,0,200
C,520.0,mixed,E0,200,5.152174479588564,4.712341865516294,10.619921134381018,11.700267174010007,16.373534848649,0,0,200
C,520.0,mixed,E1,200,5.091701363026233,4.846633001990028,8.379020316084574,9.414506190519216,13.355565469345436,0,0,200
C,520.0,mixed,E3,200,5.055754309715252,4.697954959775473,8.7221574400421,9.627891043358538,13.028054413182986,0,0,200
C,680.0,baseline_drift,E0,200,1.8652467691717038,1.8342195422727627,2.744476533342822,3.0998475180009444,3.5432629859376448,0,0,200
C,680.0,baseline_drift,E1,200,2.0623924128006843,2.0078084527949613,3.1133199277982953,3.558982753947952,4.047924067346003,0,0,200
C,680.0,baseline_drift,E3,200,2.1202020621470945,2.041832786903342,3.208211571315189,3.735229105194685,4.56644962635346,0,0,200
C,680.0,gaussian,E0,200,0.41931801642648736,0.3667151623913014,0.8540757432865462,0.9778768445579658,1.4919237165287311,0,0,200
C,680.0,gaussian,E1,200,0.42461953999293484,0.3808373709907187,0.9227570788228604,1.064832060728446,1.509389332907176,0,0,200
C,680.0,gaussian,E3,200,0.42485603415281786,0.38414356846391223,0.9281567828881973,1.0521758224901758,1.5070368989277083,0,0,200
C,680.0,impulsive,E0,200,1.2221643225965828,1.0188592972360766,2.551393736077671,2.9414028655601148,4.441825330455913,0,0,200
C,680.0,impulsive,E1,200,0.2316964286183514,0.19270998999172662,0.4794853881990434,0.562806429683104,0.9297071381103024,0,0,200
C,680.0,impulsive,E3,200,0.20726740239314206,0.17998981240731382,0.42283579970401197,0.5359851014316973,0.8696872414071777,0,0,200
C,680.0,mixed,E0,200,2.535186992249011,2.1709060760322245,5.280223277560219,5.857038421995684,8.739803469189383,0,0,200
C,680.0,mixed,E1,200,2.0210339379705022,1.9508040757158374,3.1658096532792683,3.6209789729425244,5.660081327296325,0,0,200
C,680.0,mixed,E3,200,1.950507719267797,1.8391448272556092,3.0519848065132007,3.389344434408661,4.69318181262156,0,0,200
